"시도, 시군구 사무소 소재지 ",,,,
;[1],,,,
여수시,여수시 시청로 1,59675,1899-2012,yeosu.go.kr
순천시,순천시 장명로 30,57956,749-3114,suncheon.go.kr
나주시,나주시 시청길 22,58263,339-8114,naju.go.kr
광양시,광양시 시청로 33,57785,797-2114,gwangyang.go.kr
;,,,,
,,,,
,,,,
;[10],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
담양군,담양군 담양읍 추성로 1371,57339,380-3114,damyang.go.kr
곡성군,곡성군 곡성읍 군청로 50,57536,363-2011,gokseong.go.kr
구례군,구례군 구례읍 봉성로 1,57656,782-2014,gurye.go.kr
고흥군,고흥군 고흥읍 흥양길 40,59535,830-5114,goheung.go.kr
보성군,보성군 보성읍 송재로 165,59455,852-2181,boseong.go.kr
화순군,화순군 화순읍 동헌길 23,58112,374-0001,hwasun.go.kr
장흥군,장흥군 장흥읍 장흥로 21,59328,863-7071,jangheung.go.kr
강진군,강진군 강진읍 탐진로 111 ,59228,430-3114,gangjin.go.kr
해남군,해남군 해남읍 군청길 4,59028,530-5114,haenam.go.kr
영암군,영암군 영암읍 군청로 1,58415,470-2114,yeongam.go.kr
무안군,무안군 무안읍 무안로 530,58532,450-5114,muan.go.kr
함평군,함평군 함평읍 중앙길 200,57149,320-3114,hampyung.go.kr
영광군,영광군 영광읍 중앙로 203,57036,350-5114,yeonggwang.go.kr
장성군,장성군 장성읍 영천로 200,57219,393-1989,jangseong.go.kr
완도군,완도군 완도읍 청해진남로 51,59124,550-5114,wando.go.kr
진도군,진도군 진도읍 철마길 25,58915,544-2181,jindo.go.kr
신안군,신안군 압해읍 천사로 1004,58827,271-1004,shinan.go.kr
,,,,
경상북도,안동시 풍천면 도청대로 455,36759,(054)880-2114,gb.go.kr
,,,,
포항시,포항시 남구 시청로 1,37683,(054)270-8282,pohang.go.kr
남구,포항시 남구 희망대로 790,37832,270-6222,pohang.go.kr/namgu
북구,포항시 북구 중앙로 325,37705,240-7222,pohang.go.kr/bukgu
경주시,경주시 양정로 260,38102,779-8585,gyeongju.go.kr
김천시,김천시 시청1길 1,39532,420-6114,gimcheon.go.kr
안동시,안동시 퇴계로 115,36691,840-6114,andong.go.kr
;,,,,
,,,,
,,,,
;[11],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
구미시,구미시 송정대로 55,39281,480-6114,gumi.go.kr
영주시,영주시 시청로 1,36132,634-3100,yeongju.go.kr
영천시,영천시 시청로 16,38856,330-6000,yc.go.kr
상주시,상주시 상산로 223,37211,533-2001,sangju.go.kr
문경시,문경시 당교로 225,36982,552-3210,gbmg.go.kr
경산시,경산시 남매로 159,38617,(053)811-2231,gbgs.go.kr
군위군,군위군 군위읍 군청로 200,39013,(054)380-6114,gunwi.go.kr
의성군,의성군 의성읍 군청길 31,37337,830-6114,usc.go.kr
청송군,청송군 청송읍 군청로 51,37427,1577-7997,cs.go.kr
영양군,영양군 영양읍 군청길 37,36537,682-2241,yyg.go.kr
영덕군,영덕군 영덕읍 군청길 116,36429,730-6114,yd.go.kr
청도군,청도군 화양읍 청화로 70,38330,370-6114,cd.go.kr
고령군,고령군 대가야읍 왕릉로 55,40138,954-2201,goryeong.go.kr
성주군,성주군 성주읍 성주로 3200,40022,933-0021,sj.go.kr
칠곡군,칠곡군 왜관읍 군청1길 80,39888,979-6114,chilgok.go.kr
예천군,예천군 예천읍 군청길 33,36822,654-3801,ycg.kr
봉화군,봉화군 봉화읍 봉화로 1111,36239,679-6114,bonghwa.go.kr
울진군,울진군 울진읍 울진중앙로 121,36323,782-1501,uljin.go.kr
울릉군,울릉군 울릉읍 도동2길 66,40222,791-2191,ulleung.go.kr
,,,,
경상남도,창원시 의창구 중앙대로 300,51154,(055)211-2114,gyeongnam.go.kr
,,,,
창원시,창원시 의창구 중앙대로 151,51435,1899-111,changwon.go.kr
의창구,창원시 의창구 태복산로 15번길8,51168,212-2114,uichang.changwon.go.kr
성산구,창원시 성산구 창원대로 1086,51539,272-2114,seongsan.changwon.go.kr
;,,,,
,,,,
,,,,
;[12],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
마산합포구,창원시 마산합포구 3&#65381;15대로 210,51736,220-2114,masanhp.changwon.go.kr
마산회원구,창원시 마산회원구 삼호로 63,51323,230-2114,masanhw.changwon.go.kr
진해구,창원시 진해구 진해대로 1101,51629,548-2114,jinhae.changwon.go.kr
진주시,진주시 동진로 155,52789,749-2114,jinju.go.kr
통영시,통영시 통영해안로 515,53040,1577-0557,tongyeong.go.kr
사천시,사천시 용현면 시청로 77,52539,831-2114,sacheon.go.kr
김해시,김해시 김해대로 2401,50924,1577-9400,gimhae.go.kr
밀양시,밀양시 밀양대로 2047,50420,359-5114,miryang.go.kr
거제시,거제시 계룡로 125,53257,639-3000,geoje.go.kr
양산시,양산시 중앙로 39,50624,392-2114,yangsan.go.kr
의령군,의령군 의령읍 충익로 63,52140,570-2114,uiryeong.go.kr
함안군,함안군 가야읍 말산로 1,52043,580-2114,haman.go.kr
창녕군,창녕군 창녕읍 군청길 1,50317,530-1000,cng.go.kr
고성군,고성군 고성읍 성내로 130,52943,670-2114,goseong.go.kr
남해군,남해군 남해읍 망운로9번길 12,52425,860-3114,namhae.go.kr
하동군,하동군 하동읍 군청로 23,52333,880-2114,hadong.go.kr
산청군,산청군 산청읍 산엔청로 1,52221,970-6000,sancheong.go.kr
함양군,함양군 함양읍 고운로 35,50036,960-5114,hygn.go.kr
거창군,거창군 거창읍 중앙로 103,50132,940-3114,geochang.go.kr
합천군,합천군 합천읍 동서로 119,50231,930-3114,hc.go.kr
,,,,
제주특별자치도,제주시 문연로 6,63122,(064)-120,jeju.go.kr
,,,,
제주시,제주시 광양9길 10,63208,(064)-120,jejusi.go.kr
서귀포시,서귀포시 중앙로 105 (제1청사) 서귀포시 신중로 55 (제2청사),63584 63565,(064)-120,seogwipo.go.kr
;,,,,
